title,tags
the girl on the train,when a voyeurist divorce fixat on the live of a perfect coupl a far she soon get embroil in a murder mysteri that unfold reveal truth about her own life drama thriller remak psychologicalthril parineetichopra aditiraohydari kirtikulhari totaroychowdhuri shamaunahm mirakapoor nusrat aaliyashergil dr hamid anand ribhudasgupta vivekbagraw
baaghi,ronni is a rebelli man who fall in love with sia but circumst separ them year later ronni learn that sia is abduct by a martial art champion raghav action thriller romanc rebel martialart kidnap tigershroff shraddhakapoor sunilgrov sudheerbabu sauravchakrabarti ranveerpratapsingh siakhurana p p khurrana raghavshetti biju sabbirkhan sajidnadiadwala
student of the year,sever alumni reminisc about their final year at st theresa s colleg and the event that shape their live comedi drama music lovetriangl competit jealousi colleg friendship scavengerhunt reunion romanc triathlon sidharthmalhotra aliabhatt varundhawan rishikapoor bomanirani abhimanyusingh shanayasinghania rohannanda deanyogendravasisht harikishansanta karanjohar
karan arjun,karan and arjun reincarn in the differ part of the countri but the faith of their previous mother bring them togeth in order to aveng their death action thriller reincarn reveng shahrukhkhan salmankhan rakheegulzar kajol mamtakulkarni arjunsingh vijay karansingh ajay durgasingh soniasaxena bindiyasingh anuragsingh bharatshah
gangs of wasseypur - part 1,shahid khan is exil after imperson the legendari sultana daku in order to rob british train now outcast shahid becom a worker at ramadhir singh s collieri onli to spur a reveng battl that pass on to generat at the turn of the decad shahid s son the philand sardar khan vow to get his father s honor back becom the most fear man of wasseypur action thriller crime mafia gang coalmin manojbajpaye richachadha tigmanshudhulia nawazuddinsiddiqui reemasen sardarkhan nagma ramadhirsingh faizalkhan durga anuragkashyap ajayrai
raees,set in the earli 80s and 90s in gujarat india raee is a fictiti stori of a crime lord name raee who build an entir empir from scratch and a polic offic who is determin to bring him down thriller action crime bootlegg bootleg shahrukhkhan mahirakhan nawazuddinsiddiqui mohammedzeeshanayyub sheebachaddha raeesalam aasiya ipsjaideepambalalmajmudar sadiq raee friendandconfidant raee mother rahuldholakia gaurikhan
bajrangi bhaijaan,a young mute girl from pakistan lose herself in india with no way to head back a devot man with a magnanim spirit undertak the task to get her back to her motherland and unit her with her famili action comedi drama religion journey lostchild salmankhan kareenakapoorkhan harshaalimalthotra nawazuddinsiddiqui rajeshsharma pawankumarchaturvedi bajrangi rasika munni shahida chandnawab pakistanireport seniorpakistanipoliceoffic kabirkhan sunillulla
pk,a stranger in the citi ask question no one has ask befor known onli by his initi the man s innoc question and childlik curios take him on a journey of love laughter and let go comedi drama sciencefict christian islam societi friendship hinduism love alien religion sociolog beliefingod islamophobia pakistanvsindia sikhism jainism aamirkhan anushkasharma sushantsinghrajput saurabhshukla bomanirani pk jagat jaggu jananisahni sarfrazyousuf tapasvimaharaj cherrybajwa lakshmipriyadevi rahulnanda
rab ne bana di jodi,a lone 40 ish man like to remain a bachelor has a chanc to find the love of his life when he fall for a vivaci young woman comedi drama romanc shahrukhkhan vinaypathak anushkasharma m k raina manmeetsingh surind suri sahni rajkapoor balwind bobbi khosla taanisahni taani sfather rajumechan yashchopra adityachopra
dhoom 2,jai and ali return this time on the trail of an intern thief who steal priceless artifact and has chosen mumbai as his next target drama action thriller crime robberi sequel heist disguis buddycop motorcyclechas hrithikroshan abhishekbachchan aishwaryaraibachchan udaychopra bipashabasu aryan mr a jaidixit sunehri alikhan sonalibos monalibos yashchopra adityachopra
padmaavat,rajputana india 13th centuri the tyrann usurp alauddin khilji sultan of delhi becom obsess with queen padmavati wife of king ratan singh of mewar and goe to great length to satisfi his greed for her drama histori romanc husbandwiferelationship obsess queen delhi india afghanistan music sultan epic honor romanc king battl perioddrama fortress basedonsong poemorrhym mediev mongol historyofindia 13thcenturi ancientindia mewar india ranveersingh deepikapadukon shahidkapoor jimsarbh aayammehta sultanalauddinkhilji queenpadmavati kingratansingh malikkafur raghavchetan sanjayleelabhansali shrutimahajan
mohabbatein,at a prestigi all male univers three friend seek love outsid of the school ground at the same time a newli hire music teacher seek to befriend and loosen up the milit strict headmast drama romanc tradit becominganadult forbiddenlov music elit princip disciplin schoollif teachersandstud amitabhbachchan shahrukhkhan aishwaryaraibachchan jimmyshergil preetijhangiani narayanshankar rajaryanmalhotra megha karanchoudhri kiran yashchopra adityachopra
mujhse dosti karoge!,a man fall in love with his childhood friend but her sister is the one who reciproc his feel romanc comedi drama hrithikroshan ranimukerji kareenakapoorkhan satishshah himanishivpuri rajkhanna poojasahani tinakapoor mr sahani mrs sahani yashchopra adityachopra
"monica, o my darling",a slick robot expert join a murder plot after a passion affair take a sudden turn but noth not even death is what it seem to be crime comedi drama mysteri rajkummarrao humaqureshi radhikaapt akansharanjankapoor sukantgoel jayant monica acpnaidu nikki gaurav saadkhan sanjayroutray
veer-zaara,squadron leader veer pratap singh a pilot in the indian air forc rescu the strand zaara a woman from pakistan follow a bus accid and their live are forev bound drama romanc prison loveofon slife pilot classsocieti music pakistan india kashmirconflict shahrukhkhan preityzinta ranimukerji amitabhbachchan hemamalini veerpratapsingh zaarahayaatkhan saamiyasiddiqui chaudharysumersingh maati yashchopra adityachopra
bang bang!,a young bank receptionist get mix up with rajveer nanda a man who has a mysteri background action adventur comedi romanc london england danc secretag reveng heist rescu jewelheist jewelthief motorcyclechas hrithikroshan katrinakaif dannydenzongpa javedjaffrey jimmyshergil rajveernanda harleensahni omarzafar hamidgul virennanda siddharthanand partharora
lagaan: once upon a time in india,in 1890s india an arrog british command challeng the harsh tax resid of champan to a high stake cricket match adventur romanc drama countrysid patriot music villag challeng cricket sport tax basedontruestori perioddrama coloni britishcoloni arrog untouch castesystem drought 19thcenturi britishraj gujarati aamirkhan gracysingh rachelshelley paulblackthorn kulbhushankharbanda bhuvan gauri elizabethrussel captainandrewrussel rajapuransingh ashutoshgowarik umadacunha
the lunchbox,a mistaken deliveri in mumbai s famous effici lunchbox deliveri system mumbai s dabbawallah connect a young housewif to a stranger in the dusk of his life they build a fantasi world togeth through note in the lunchbox gradual this fantasi threaten to overwhelm their realiti drama romanc housewif mumbai bombay india food tiffin gastronomia indiancuisin irrfankhan nimratkaur nawazuddinsiddiqui lilletedubey nasirrkhan saajanfernand ila shaikh ila smother ila sfather danistanović lydiadeanpilch
gangubai kathiawadi,dupe and sold to a brothel a young woman fearless reclaim her power use underworld connect to presid over the world she was onc a pawn in crime drama basedonnovelorbook biographi aliabhatt ajaydevgn shantanumaheshwari indiratiwari seemapahwa gangubaikathiawadi rahimlala afshanbadr razzaq kam sheilamasi sanjayleelabhansali rahulnanda
monsoon wedding,as the romant monsoon rain loom the extend verma famili reunit from around the globe for a last minut arrang marriag in new delhi this film trace five intersect stori each navig differ aspect of love as they cross boundari of class contin and moral comedi drama romanc childabus adulteri delhi india arrangedmarriag wed womandirector weddingarrang classsystem naseeruddinshah lilletedubey shefalishah vijayraaz tillotamashom lalitverma pimmiverma riaverma parabatlalkanhaiyal p k dubey alic miranair carolinebaron
zindagi na milegi dobara,three friend who were insepar in childhood decid to go on a three week long bachelor road trip to spain in order to re establish their bond and explor thrill adventur befor one of them get marri what will they learn of themselv and each other dure the adventur drama comedi romanc painter cheat schoolfriend poet friendship vacat travel scubadiv misunderstand lyricist childhoodfriend roadmovi flirt femaledomin scubadiv fathersonconflict skydiv hrithikroshan farhanakhtar abhaydeol katrinakaif kalkikoechlin arjunsaluja imranqureshi kabirdewan laila natashaarora zoyaakhtar riteshsidhwani
swades,a success indian scientist return home to his villag to take his nanni back to america with him and in the process rediscov his root drama nasa socialissu shahrukhkhan gayatrijoshi kishoribal smithseth lekhtandon mohanbhargav gita kaveriamma chiku dadaji ashutoshgowarik kimberlymullen
dilwale,raj is a mafia member one day he meet a girl meera while chase by his rival gang and fall in love with her later he find out that this girl is the daughter of the leader of his rival gang yet their love stori continu until he was shot by his girlfriend upon a deep misunderstand after that incid these two lover live separ until their sibl fallen in love with this new love stori their path intertwin again crime action comedi mafia shahrukhkhan kajol varundhawan kritisanon bomanirani raj kaali meeramalik veer ishita king rohitshetti gaurikhan
ghajini,a man suffer from anterograd amnesia as a result of a violent attack in the past set out to aveng his girlfriend s death with the aid of photograph note and tattoo all over his bodi action romanc thriller tattoo loveatfirstsight diari gangster villain businessman reveng brutal policeoffic polaroid short termmemori medicalstud aamirkhan asinthottumk jiahkhan pradeepramsinghrawat riyazkhan sanjaysinghania kalpanashetti sunita ghajinidharmatma inspectorarjun a r murugadoss tagoremadhu
bhaag milkha bhaag,the true stori of the fli sikh world champion runner and olympian milkha singh who overcam the massacr of his famili civil war dure the india pakistan partit and homeless to becom one of india s most icon athlet histori action drama fight knife biographi sister past love jail slaughter famili sportsdocumentari athlet farhanakhtar sonamkapoor divyadutta pavanmalhotra rebeccabre milkhasingh biro ishrikaur hawaldar constabl gurudevsingh stella rakeyshomprakashmehra rajeevtandon
jab tak hai jaan,a bomb dispos expert becom bitter and lone and is unabl to fall in love until he is forc to deal with his past drama romanc shahrukhkhan katrinakaif anushkasharma sarika andrewbicknel majorsamaranand meerathapar akirarai dr zoyaalikhan frank yashchopra adityachopra
jersey,an ex cricket struggl to make end meet want to fulfil his child s wish of get an indian jersey but in the process come face to face with his heroic past and is forc to decid if he will rise to the occas and becom a symbol of hope or continu to live a life as a loser drama cricket sport remak basedonmovi fathersonrelationship shahidkapoor mrunalthakur pankajkapur ronitkamra riturajsingh arjuntalwar vidhya coachbali ketan kittu talwar maheshkarmarkar gowtamtinnanuri dilraju
gol maal,a man s simpl lie to secur his job escal into more complex lie when his orthodox boss becom suspici comedi forbiddenlov music india amolpalekar utpaldutt bindiyagoswami devenverma dinapathak ramprasaddasharathprasadsharma laxmanprasaddasharathprasadsharma bhavanishankar urmila devenverma mrs kamalasrivastava hrishikeshmukherje romun sippi
devdas,after his wealthi famili prohibit him from marri the woman he is in love with devda mukherje s life spiral further and further out of control as he take up alcohol and a life of vice to numb the pain drama romanc basedonnovelorbook courtesan remak calcutta familydisapprov childhoodsweetheart early1900 kolkata india shahrukhkhan madhuridixit aishwaryaraibachchan jackieshroff smitajaykar devdasmukherje chandramukhi parvati paro chakraborti chunnil chunnibabu kaushalyamukherje sanjayleelabhansali bharatshah
ludo,ludo is about the butterfli effect and how despit all the chao and crowd of the world all our live are inextric connect from a resurfac sex tape to a rogu suitcas of money four wild differ stori overlap at the whim of fate chanc and one eccentr crimin crime comedi kidnap gangster suitcasefullofmoney sextap pankajtripathi abhishekbachchan sanyamalhotra adityaroykapur rajkummarrao rahulsatyendratripathi sattu batukeshwartiwari bittu shrutichoksi dr akashchauhan alokkumargupta aalu anuragbasu bhushankumar
gaslight,meesha a young parapleg woman confin to a wheelchair return to her famili s royal estat after 15 year at the behest of her estrang father onli to learn that he s mysteri miss and probabl dead horror thriller saraalikhan vikrantmassey chitrangdasingh rahuldev akshayoberoi meesha kapil rukmini pavankirpalani rameshsadhuramtaurani
ek tha tiger,an indian agent is sent to observ the action of a scientist but the mission becom complic when he fall in love with the scientist s pakistani caretak action romanc thriller spi secretag yrfspyunivers salmankhan katrinakaif girishkarnad ranvirshorey gaviechah avinashsingh tiger rathor zoya zee humaini shenoy gopiarya captainabrar kabirkhan adityachopra
chak de! india,a team of rag tag girl with their own agenda form team india compet for intern fame in field hockey their coach the ex men s indian nation team captain return from a life of shame after be unjust accus of match fix in his last match can he give the girl the motiv requir to win while deal with the shadow of his own past drama sport coach fieldhockey shahrukhkhan anaithanair tanyaabrol shilpashukla aryamenon kabirkhan aliyabos balbirkaur bindianaik guliqb yashchopra adityachopra
english vinglish,in the unit state for the first time an indian housewif with a limit command of english turn manhattan into her person languag school comedi drama famili classroom housewif speech foreignlanguag wed xenophobia manhattan newyorkc socialdiffer womandirector sridevi adilhussain mehdinebbou priyaanand navikakotia shashigodbol satishgodbol laurent afrenchcook radha sapna sunillulla
war,khalid is entrust with the task of elimin kabir a former soldier turn rogu as he engag in an epic battl with his mentor who had taught him everyth action thriller adventur itali portug spi gun traitor karat chase friendship love betray shootout twomanarmi onemanarmi explos india motorcycl oneagainstmani mentorprotégérelationship motorcyclechas newdelhiindia yrfspyunivers hrithikroshan tigershroff vaanikapoor ashutoshrana dipannitasharma majorkabirdhaliw captainkhalidrahmani nainaverma colonelsunilluthra dr mallikasingh siddharthanand simonebär
bholaa,an ex convict must undertak a peril violent journey in order to meet his daughter after ten year of imprison action adventur crime fight sieg orphanag truck remak murder travel betray drugcartel gore policecorrupt drug ontheroad policest slowmot oneagainstmani drugbust femalepoliceoffic basedonmovi roadmovi bloodsh substanceabus gatlinggun narcot stabbedtodeath drivingatnight trident fatherdaughterrelationship brotherbrotherrelationship extremeviol actionadventur brutalviol student imaxenhanc graphicviol violenc actionviol 3d characternameintitl ajaydevgn tabu deepakdobriy amalapaul sanjaymishra bholaa ipsdianajoseph ashwathamaa k aashu angadyadav bhushankumar
vivah,poonam a tradit brought up young woman is to marri prem a groom chosen by her uncl poonam and prem s faith and love are to be test howev when an accid occur and poonam might be scar for life romanc drama shahidkapoor amritarao anupamkh seemabiswa aloknath prembajpaye poonammishra harishchandrabajpaye ramamishra krishnak chacha soorajbarjatya kamalkumarbarjatya
gully boy,a come of age stori base on the live of street rapper in mumbai drama music slum rapmus ghetto mumbai bombay india rapper poverti rapstar rapperwannab ranveersingh aliabhatt siddhantchaturvedi monaghoshshetti vijayraaz muradahm gullyboy safeenafirdausi shrikantbhosi mcsher safeenfirdausi voicedoubl aftabahm zoyaakhtar riteshsidhwani
kal ho naa ho,an uptight mba student fall for the charismat new neighbor who charm her troubl famili but he has a secret that forc him to push her away comedi drama romanc newyorkc music preityzinta shahrukhkhan saifalikhan jayabachchan sonalibendr nainacatherinekapur amanmathur rohitpatel jenniferkapur dr priya nikkhiladvani karanjohar
dear zindagi,an unconvent thinker help a bud cinematograph gain a new perspect on life drama romanc depress cinematograph comingofag psychologist aliabhatt shahrukhkhan alizafar kunalkapoor angadbedi kaira dr jehangirkhan rumi raghuvendra sid karanjohar
aśoka,a young princ asoka work to perfect his skill in battl and also deal with famili conflict dure a struggl with one of his step brother his mother urg asoka to escap to stay aliv while away asoka meet kaurwaki and fall in love but must use his skill as a warrior to protect her a danger and heartbreak web of conspiraci follow which lead asoka to embrac a buddhist path action adventur drama histori romanc war buddhism emperor command reue india ancientworld historicaldrama shahrukhkhan kareenakapoorkhan hrishitaabhatt dannydenzongpa soorajbalaji emperorashokamaurya pawan kaurwaki devi virat princearyan santoshsivan sanjivchawla
singham,an honest small town cop is transfer to a big citi that is control by a crime boss that he had onc humili drama action crime fight onemanarmi jobtransf loveinterest toughguy policeoffic flippingcar copunivers ajaydevgn kajalagarw prakashraj ashoksaraf sachinkhedekar bajiraosingham kavyabhosl jaikantshikr prabhubhawalkar gautambhosl rohitshetti rohitchaudhuri
welcome,dubai base crimin don uday take it upon himself to tri and get his sister sanjana marri in vain as no one want to be associ with a crime famili uday s associ sagar pandey find a young man rajiv who live with his matern uncl and aunt dr and mrs ghunghroo through extort he compel ghunghroo to accept this matrimoni allianc but rajiv has alreadi fallen in love with young woman in south africa when the time come to get rajiv formal engag to this woman he find out that sanjana and she are the veri same with no escap from this predica the wed is plan with hilari consequ drama action comedi romanc akshaykumar katrinakaif anilkapoor nanapatekar ferozkhan rajiv sanjanashetti majnubhai udayshetti ranvirdhanrajxaja rdx firoza nadiadwala
fanaa,zooni ali beg is a blind kashmiri girl who travel without her parent for the first time with a danc troup to delhi to perform in a ceremoni for independ day on her journey she meet rehan khan a casanova and tour guid who flirt with her although her friend warn zooni about him she cannot resist fall in love with him and he take her on a privat tour of new delhi but there is more to rehan than meet the eye and zooni will have to make a heartbreak decis action drama romanc thriller blindnessandimpairedvis delhi india music touristguid kashmirconflict aamirkhan kajol rishikapoor kirronkh sanayairani rehanqadri zoonialibeg zulfikaralibeg nafisaalibegum bobo kunalkoh adityachopra
main hoon na,an armi major goe undercov as a colleg student his mission is both profession and person to protect his general s daughter from a radic milit and to find his estrang half brother drama colleg undercoveroper armymajor masala indiapakistanbord lostbroth shahrukhkhan sushmitasen sunielshetti amritarao zayedkhan majorramprasadsharma misschandni raghavan majorraghavdutta sanjanabakshia k asanju lakshmanprasadsharmaa k alucki karanmalhotra sanjivchawla
sholay,after his famili is murder by a notori and ruthless bandit a former polic offic enlist the servic of two outlaw to captur the bandit action fight villag polic bandit amitabhbachchan dharmendra hemamalini amjadkhan sanjeevkumar jai veeru basanti gabbarsingh thakurbaldevsingh rameshsippi g p sippi
guilty,a young woman from a small town accus the colleg heartthrob of sexual assault thriller drama kiaraadvani gurfatehpirzada akansharanjankapoor ashrutjain gopaldatt nankidutta vijaypratapsingh tanu ashrut intern karanjohar
black,black is an adapt of helen keller s autobiographi black revolv around a blind and deaf girl and her relationship with her teacher who himself later develop alzheim s diseas drama deaf mute teacher tale blind teacherstudentrelationship rayoflight amitabhbachchan ranimukerji ayeshakapoor shernazpatel dhritimanchatterje debrajsahai michellemcn youngmichellemcn catherinemcn paulmcnal sanjayleelabhansali
dhoom,a gang of biker head by the cool head and arrog kabir is on a rob spree in mumbai they rob establish and then zip away on their superbik acp jai dixit is the case in charg and he recruit a bumbl bike mechan and racer name ali to chase the gang on a bike and help jai nab them kabir accept the challeng and pull off anoth robberi amidst a function this caus jai and ali to call it off jai resign from the polic forc and ali goe back to his daili job meanwhil kabir has lost one of his team member and recruit ali for their final job in goa the action shift from the congest mumbai traffic to the sunni goa for the final showdown between cop and robber action crime drama thriller gangofthiev cop motorsport motorcycl johnabraham abhishekbachchan eshadeol udaychopra rimisen kabir acpjaidixit sheena ali sweetydixit sanjaygadhvi adityachopra
kesari,in 1897 an armi of 21 sikh battl 10 000 afghan to prevent the saragarhi fort from be taken down action drama histori war patriot kingdom basedontruestori king historicaldrama 19thcenturi period akshaykumar parineetichopra edwardsonnenblick vikramkochhar r bhaktiklein havildarisharsingh jeevanikaur lt lawrenc gulabsingh majordesvoeux anuragsingh karanjohar
happy new year,six would be thiev enter a prestigi danc competit as a cover for their larger goal of pull off a major heist action comedi crime competit diamond danc stripper dubai thief poledanc heist conartist diamondheist womandirector bardanc shahrukhkhan deepikapadukon abhishekbachchan jackieshroff bomanirani charli mohini nandubhid charangroov tammyirani varunlalwani gaurikhan
sanam teri kasam,a music romant movi explor the journey that ensu when the blue blood boy inder who want to love no one cross path with saru whom no one want to love all their live they were wait to meet but they just didn t know it a music tale of love long and loss sanam teri kasam a love stori seal with a curs drama romanc music loss harshvardhanran mawrahocan vijayraaz muralisharma manishchaudhari inderparihar saraswatiparthasarthi mustakeenbhai inspectorharinikam jayaram radhikarao deepakmukut
sultan,the age wrestler sultan ali khan decid to tri his luck on the mat again to do this he want to repres his countri at the olymp game but first has to overcom person issu drama action wrestl sport salmankhan anushkasharma randeephooda amitsadh kumudmishra sultanalikhan aarfaalikhan fatehsingh aakash barkat aliabbaszafar adityachopra
piku,a taxi driver is caught between a dysfunct relationship between a woman and her father as he drive them to kolkata drama comedi deepikapadukon amitabhbachchan irrfankhan jisshusengupta avijitdutt pikubanerje bashkorbanerje ranachaudhari syedafroz bodomesho shoojitsircar ronnielahiri
krrish 3,krrish and his father rohit must team up to save the world from a psychokinet evil man name kaal and his armi of mutant action sciencefict secretident superhero madscientist lethalvirus pregnantwoman hrithikroshan vivekoberoi priyankachoprajona kanganaranaut arifzakaria krishnamehra krrish rohitmehra kaal priyamehra kaya dr varunshetti tonychingsiu tung rakeshroshan
